iter	Passed	Remaining
1478	44491	15672
1479	44506	15637
1480	44539	15608
1481	44567	15577
1482	44597	15547
1483	44625	15516
1484	44650	15484
1485	44678	15454
1486	44705	15422
1487	44732	15391
1488	44765	15362
1489	44790	15330
1490	44817	15299
1491	44845	15269
1492	44869	15237
1493	44894	15205
1494	44920	15173
1495	44949	15143
1496	44977	15112
1497	45007	15082
1498	45041	15053
1499	45077	15025
1500	45125	15001
1501	45159	14972
1502	45202	14947
1503	45243	14920
1504	45289	14896
1505	45327	14868
1506	45354	14837
1507	45383	14806
1508	45412	14776
1509	45446	14747
1510	45484	14719
1511	45524	14693
1512	45558	14664
1513	45576	14630
1514	45620	14604
1515	45654	14575
1516	45684	14545
1517	45712	14514
1518	45738	14483
1519	45763	14451
1520	45792	14421
1521	45816	14389
1522	45840	14357
1523	45869	14326
1524	45895	14295
1525	45920	14263
1526	45947	14232
1527	45975	14201
1528	46001	14170
1529	46030	14140
1530	46059	14109
1531	46087	14079
1532	46118	14048
1533	46146	14018
1534	46175	13988
1535	46207	13958
1536	46231	13926
1537	46261	13896
1538	46289	13865
1539	46314	13834
1540	46345	13804
1541	46372	13773
1542	46401	13743
1543	46437	13714
1544	46470	13685
1545	46510	13658
1546	46550	13631
1547	46583	13601
1548	46616	13572
1549	46654	13544
1550	46689	13516
1551	46721	13486
1552	46750	13456
1553	46781	13426
1554	46811	13396
1555	46845	13367
1556	46884	13339
1557	46922	13311
1558	46958	13283
1559	46991	13253
1560	47033	13227
1561	47065	13197
1562	47095	13167
1563	47128	13138
1564	47156	13107
1565	47186	13077
1566	47217	13047
1567	47247	13017
1568	47275	12986
1569	47311	12957
1570	47345	12928
1571	47374	12898
1572	47404	12868
1573	47432	12837
1574	47460	12806
1575	47501	12779
1576	47536	12750
1577	47569	12721
1578	47616	12695
1579	47657	12668
1580	47693	12639
1581	47722	12609
1582	47752	12579
1583	47779	12548
1584	47808	12517
1585	47838	12487
1586	47870	12457
1587	47900	12427
1588	47924	12395
1589	47952	12365
1590	47980	12334
1591	48008	12303
1592	48042	12274
1593	48076	12245
1594	48111	12216
1595	48144	12187
1596	48175	12157
1597	48207	12127
1598	48239	12097
1599	48270	12067
1600	48298	12037
1601	48333	12007
1602	48372	11979
1603	48409	11951
1604	48449	11923
1605	48493	11897
1606	48531	11868
1607	48563	11838
1608	48599	11810
1609	48640	11782
1610	48686	11756
1611	48721	11726
1612	48754	11697
1613	48789	11668
1614	48823	11639
1615	48860	11610
1616	48895	11581
1617	48924	11550
1618	48953	11520
1619	48978	11488
1620	49005	11457
1621	49034	11427
1622	49064	11397
1623	49094	11366
1624	49122	11336
1625	49147	11304
1626	49173	11273
1627	49197	11241
1628	49227	11211
1629	49254	11180
1630	49288	11151
1631	49326	11122
1632	49367	11094
1633	49403	11066
1634	49432	11035
1635	49458	11004
1636	49491	10974
1637	49519	10943
1638	49552	10914
1639	49581	10883
1640	49614	10854
1641	49644	10823
1642	49676	10793
1643	49705	10763
1644	49730	10732
1645	49762	10702
1646	49793	10672
1647	49823	10641
1648	49856	10612
1649	49885	10581
1650	49919	10552
1651	49947	10521
1652	49978	10491
1653	50012	10462
1654	50044	10432
1655	50081	10403
1656	50118	10374
1657	50161	10346
1658	50190	10316
1659	50222	10286
1660	50261	10258
1661	50302	10229
1662	50340	10201
